Freq.	V(out)
1.00000000000000e+02	(-1.61873633360134e+02dB,8.95826334907921e+01°)
1.00230523807790e+02	(-1.61813633315556e+02dB,8.95816745803752e+01°)
1.00461579027840e+02	(-1.61753633270772e+02dB,8.95807134520231e+01°)
1.00693166885180e+02	(-1.61693633225781e+02dB,8.95797501006399e+01°)
1.00925288607668e+02	(-1.61633633180582e+02dB,8.95787845211179e+01°)
1.01157945425990e+02	(-1.61573633135175e+02dB,8.95778167083374e+01°)
1.01391138573668e+02	(-1.61513633089558e+02dB,8.95768466571673e+01°)
1.01624869287070e+02	(-1.61453633043730e+02dB,8.95758743624642e+01°)
1.01859138805412e+02	(-1.61393632997691e+02dB,8.95748998190730e+01°)
1.02093948370768e+02	(-1.61333632951439e+02dB,8.95739230218268e+01°)
1.02329299228075e+02	(-1.61273632904974e+02dB,8.95729439655464e+01°)
1.02565192625141e+02	(-1.61213632858294e+02dB,8.95719626450409e+01°)
1.02801629812647e+02	(-1.61153632811399e+02dB,8.95709790551074e+01°)
1.03038612044162e+02	(-1.61093632764288e+02dB,8.95699931905309e+01°)
1.03276140576140e+02	(-1.61033632716958e+02dB,8.95690050460842e+01°)
1.03514216667934e+02	(-1.60973632669411e+02dB,8.95680146165282e+01°)
1.03752841581801e+02	(-1.60913632621644e+02dB,8.95670218966116e+01°)
1.03992016582906e+02	(-1.60853632573656e+02dB,8.95660268810710e+01°)
1.04231742939330e+02	(-1.60793632525447e+02dB,8.95650295646308e+01°)
1.04472021922080e+02	(-1.60733632477015e+02dB,8.95640299420033e+01°)
1.04712854805090e+02	(-1.60673632428360e+02dB,8.95630280078884e+01°)
1.04954242865232e+02	(-1.60613632379480e+02dB,8.95620237569738e+01°)
1.05196187382322e+02	(-1.60553632330375e+02dB,8.95610171839349e+01°)
1.05438689639126e+02	(-1.60493632281042e+02dB,8.95600082834349e+01°)
1.05681750921366e+02	(-1.60433632231482e+02dB,8.95589970501246e+01°)
1.05925372517729e+02	(-1.60373632181694e+02dB,8.95579834786425e+01°)
1.06169555719872e+02	(-1.60313632131675e+02dB,8.95569675636144e+01°)
1.06414301822431e+02	(-1.60253632081426e+02dB,8.95559492996540e+01°)
1.06659612123026e+02	(-1.60193632030944e+02dB,8.95549286813624e+01°)
1.06905487922266e+02	(-1.60133631980230e+02dB,8.95539057033284e+01°)
1.07151930523760e+02	(-1.60073631929281e+02dB,8.95528803601280e+01°)
1.07398941234124e+02	(-1.60013631878097e+02dB,8.95518526463248e+01°)
1.07646521362983e+02	(-1.59953631826677e+02dB,8.95508225564699e+01°)
1.07894672222983e+02	(-1.59893631775020e+02dB,8.95497900851017e+01°)
1.08143395129794e+02	(-1.59833631723124e+02dB,8.95487552267461e+01°)
1.08392691402120e+02	(-1.59773631670989e+02dB,8.95477179759161e+01°)
1.08642562361706e+02	(-1.59713631618613e+02dB,8.95466783271122e+01°)
1.08893009333343e+02	(-1.59653631565995e+02dB,8.95456362748222e+01°)
1.09144033644875e+02	(-1.59593631513134e+02dB,8.95445918135211e+01°)
1.09395636627209e+02	(-1.59533631460029e+02dB,8.95435449376711e+01°)
1.09647819614318e+02	(-1.59473631406679e+02dB,8.95424956417216e+01°)
1.09900583943252e+02	(-1.59413631353083e+02dB,8.95414439201093e+01°)
1.10153930954141e+02	(-1.59353631299239e+02dB,8.95403897672579e+01°)
1.10407861990207e+02	(-1.59293631245147e+02dB,8.95393331775782e+01°)
1.10662378397766e+02	(-1.59233631190805e+02dB,8.95382741454681e+01°)
1.10917481526240e+02	(-1.59173631136213e+02dB,8.95372126653127e+01°)
1.11173172728159e+02	(-1.59113631081368e+02dB,8.95361487314838e+01°)
1.11429453359173e+02	(-1.59053631026270e+02dB,8.95350823383406e+01°)
1.11686324778056e+02	(-1.58993630970918e+02dB,8.95340134802289e+01°)
1.11943788346715e+02	(-1.58933630915310e+02dB,8.95329421514817e+01°)
1.12201845430196e+02	(-1.58873630859445e+02dB,8.95318683464186e+01°)
1.12460497396692e+02	(-1.58813630803323e+02dB,8.95307920593464e+01°)
1.12719745617551e+02	(-1.58753630746942e+02dB,8.95297132845584e+01°)
1.12979591467279e+02	(-1.58693630690300e+02dB,8.95286320163351e+01°)
1.13240036323555e+02	(-1.58633630633397e+02dB,8.95275482489434e+01°)
1.13501081567231e+02	(-1.58573630576231e+02dB,8.95264619766373e+01°)
1.13762728582343e+02	(-1.58513630518801e+02dB,8.95253731936571e+01°)
1.14024978756116e+02	(-1.58453630461106e+02dB,8.95242818942303e+01°)
1.14287833478977e+02	(-1.58393630403145e+02dB,8.95231880725705e+01°)
1.14551294144553e+02	(-1.58333630344916e+02dB,8.95220917228784e+01°)
1.14815362149688e+02	(-1.58273630286419e+02dB,8.95209928393411e+01°)
1.15080038894443e+02	(-1.58213630227651e+02dB,8.95198914161322e+01°)
1.15345325782109e+02	(-1.58153630168613e+02dB,8.95187874474119e+01°)
1.15611224219209e+02	(-1.58093630109301e+02dB,8.95176809273269e+01°)
1.15877735615512e+02	(-1.58033630049716e+02dB,8.95165718500105e+01°)
1.16144861384034e+02	(-1.57973629989856e+02dB,8.95154602095821e+01°)
1.16412602941049e+02	(-1.57913629929719e+02dB,8.95143460001479e+01°)
1.16680961706096e+02	(-1.57853629869305e+02dB,8.95132292158003e+01°)
1.16949939101987e+02	(-1.57793629808612e+02dB,8.95121098506180e+01°)
1.17219536554813e+02	(-1.57733629747639e+02dB,8.95109878986660e+01°)
1.17489755493952e+02	(-1.57673629686385e+02dB,8.95098633539958e+01°)
1.17760597352080e+02	(-1.57613629624847e+02dB,8.95087362106449e+01°)
1.18032063565172e+02	(-1.57553629563026e+02dB,8.95076064626371e+01°)
1.18304155572516e+02	(-1.57493629500919e+02dB,8.95064741039825e+01°)
1.18576874816716e+02	(-1.57433629438525e+02dB,8.95053391286773e+01°)
1.18850222743701e+02	(-1.57373629375844e+02dB,8.95042015307037e+01°)
1.19124200802737e+02	(-1.57313629312873e+02dB,8.95030613040301e+01°)
1.19398810446427e+02	(-1.57253629249611e+02dB,8.95019184426110e+01°)
1.19674053130724e+02	(-1.57193629186058e+02dB,8.95007729403869e+01°)
1.19949930314937e+02	(-1.57133629122211e+02dB,8.94996247912842e+01°)
1.20226443461741e+02	(-1.57073629058069e+02dB,8.94984739892154e+01°)
1.20503594037179e+02	(-1.57013628993632e+02dB,8.94973205280789e+01°)
1.20781383510677e+02	(-1.56953628928896e+02dB,8.94961644017589e+01°)
1.21059813355048e+02	(-1.56893628863862e+02dB,8.94950056041256e+01°)
1.21338885046497e+02	(-1.56833628798528e+02dB,8.94938441290350e+01°)
1.21618600064636e+02	(-1.56773628732892e+02dB,8.94926799703288e+01°)
1.21898959892486e+02	(-1.56713628666954e+02dB,8.94915131218347e+01°)
1.22179966016487e+02	(-1.56653628600711e+02dB,8.94903435773658e+01°)
1.22461619926504e+02	(-1.56593628534162e+02dB,8.94891713307213e+01°)
1.22743923115840e+02	(-1.56533628467305e+02dB,8.94879963756857e+01°)
1.23026877081238e+02	(-1.56473628400141e+02dB,8.94868187060295e+01°)
1.23310483322890e+02	(-1.56413628332666e+02dB,8.94856383155084e+01°)
1.23594743344450e+02	(-1.56353628264880e+02dB,8.94844551978640e+01°)
1.23879658653036e+02	(-1.56293628196781e+02dB,8.94832693468233e+01°)
1.24165230759240e+02	(-1.56233628128367e+02dB,8.94820807560989e+01°)
1.24451461177138e+02	(-1.56173628059638e+02dB,8.94808894193888e+01°)
1.24738351424294e+02	(-1.56113627990591e+02dB,8.94796953303763e+01°)
1.25025903021771e+02	(-1.56053627921226e+02dB,8.94784984827305e+01°)
1.25314117494141e+02	(-1.55993627851540e+02dB,8.94772988701054e+01°)
1.25602996369487e+02	(-1.55933627781533e+02dB,8.94760964861406e+01°)
1.25892541179416e+02	(-1.55873627711203e+02dB,8.94748913244611e+01°)
1.26182753459066e+02	(-1.55813627640548e+02dB,8.94736833786769e+01°)
1.26473634747114e+02	(-1.55753627569567e+02dB,8.94724726423835e+01°)
1.26765186585784e+02	(-1.55693627498258e+02dB,8.94712591091614e+01°)
1.27057410520853e+02	(-1.55633627426620e+02dB,8.94700427725764e+01°)
1.27350308101665e+02	(-1.55573627354652e+02dB,8.94688236261793e+01°)
1.27643880881134e+02	(-1.55513627282351e+02dB,8.94676016635062e+01°)
1.27938130415752e+02	(-1.55453627209716e+02dB,8.94663768780781e+01°)
1.28233058265601e+02	(-1.55393627136747e+02dB,8.94651492634011e+01°)
1.28528665994361e+02	(-1.55333627063440e+02dB,8.94639188129662e+01°)
1.28824955169313e+02	(-1.55273626989795e+02dB,8.94626855202496e+01°)
1.29121927361353e+02	(-1.55213626915810e+02dB,8.94614493787122e+01°)
1.29419584144998e+02	(-1.55153626841483e+02dB,8.94602103817999e+01°)
1.29717927098395e+02	(-1.55093626766814e+02dB,8.94589685229434e+01°)
1.30016957803328e+02	(-1.55033626691800e+02dB,8.94577237955583e+01°)
1.30316677845229e+02	(-1.54973626616439e+02dB,8.94564761930448e+01°)
1.30617088813183e+02	(-1.54913626540731e+02dB,8.94552257087882e+01°)
1.30918192299940e+02	(-1.54853626464673e+02dB,8.94539723361582e+01°)
1.31219989901920e+02	(-1.54793626388264e+02dB,8.94527160685094e+01°)
1.31522483219223e+02	(-1.54733626311502e+02dB,8.94514568991808e+01°)
1.31825673855640e+02	(-1.54673626234386e+02dB,8.94501948214963e+01°)
1.32129563418657e+02	(-1.54613626156914e+02dB,8.94489298287643e+01°)
1.32434153519466e+02	(-1.54553626079085e+02dB,8.94476619142775e+01°)
1.32739445772973e+02	(-1.54493626000896e+02dB,8.94463910713134e+01°)
1.33045441797808e+02	(-1.54433625922346e+02dB,8.94451172931339e+01°)
1.33352143216332e+02	(-1.54373625843434e+02dB,8.94438405729853e+01°)
1.33659551654643e+02	(-1.54313625764157e+02dB,8.94425609040983e+01°)
1.33967668742593e+02	(-1.54253625684515e+02dB,8.94412782796879e+01°)
1.34276496113786e+02	(-1.54193625604505e+02dB,8.94399926929535e+01°)
1.34586035405594e+02	(-1.54133625524125e+02dB,8.94387041370789e+01°)
1.34896288259165e+02	(-1.54073625443375e+02dB,8.94374126052320e+01°)
1.35207256319427e+02	(-1.54013625362252e+02dB,8.94361180905649e+01°)
1.35518941235103e+02	(-1.53953625280754e+02dB,8.94348205862140e+01°)
1.35831344658715e+02	(-1.53893625198880e+02dB,8.94335200852998e+01°)
1.36144468246594e+02	(-1.53833625116628e+02dB,8.94322165809270e+01°)
1.36458313658892e+02	(-1.53773625033997e+02dB,8.94309100661841e+01°)
1.36772882559584e+02	(-1.53713624950984e+02dB,8.94296005341439e+01°)
1.37088176616484e+02	(-1.53653624867588e+02dB,8.94282879778631e+01°)
1.37404197501251e+02	(-1.53593624783807e+02dB,8.94269723903825e+01°)
1.37720946889394e+02	(-1.53533624699639e+02dB,8.94256537647266e+01°)
1.38038426460288e+02	(-1.53473624615083e+02dB,8.94243320939039e+01°)
1.38356637897177e+02	(-1.53413624530136e+02dB,8.94230073709068e+01°)
1.38675582887188e+02	(-1.53353624444797e+02dB,8.94216795887114e+01°)
1.38995263121334e+02	(-1.53293624359065e+02dB,8.94203487402778e+01°)
1.39315680294529e+02	(-1.53233624272936e+02dB,8.94190148185495e+01°)
1.39636836105593e+02	(-1.53173624186410e+02dB,8.94176778164540e+01°)
1.39958732257261e+02	(-1.53113624099485e+02dB,8.94163377269024e+01°)
1.40281370456195e+02	(-1.53053624012158e+02dB,8.94149945427892e+01°)
1.40604752412990e+02	(-1.52993623924429e+02dB,8.94136482569929e+01°)
1.40928879842186e+02	(-1.52933623836294e+02dB,8.94122988623753e+01°)
1.41253754462274e+02	(-1.52873623747753e+02dB,8.94109463517816e+01°)
1.41579377995707e+02	(-1.52813623658803e+02dB,8.94095907180407e+01°)
1.41905752168908e+02	(-1.52753623569442e+02dB,8.94082319539649e+01°)
1.42232878712281e+02	(-1.52693623479669e+02dB,8.94068700523498e+01°)
1.42560759360218e+02	(-1.52633623389481e+02dB,8.94055050059745e+01°)
1.42889395851109e+02	(-1.52573623298877e+02dB,8.94041368076014e+01°)
1.43218789927353e+02	(-1.52513623207855e+02dB,8.94027654499759e+01°)
1.43548943335364e+02	(-1.52453623116413e+02dB,8.94013909258272e+01°)
1.43879857825583e+02	(-1.52393623024548e+02dB,8.94000132278672e+01°)
1.44211535152486e+02	(-1.52333622932260e+02dB,8.93986323487912e+01°)
1.44543977074592e+02	(-1.52273622839546e+02dB,8.93972482812776e+01°)
1.44877185354475e+02	(-1.52213622746403e+02dB,8.93958610179879e+01°)
1.45211161758773e+02	(-1.52153622652831e+02dB,8.93944705515666e+01°)
1.45545908058195e+02	(-1.52093622558827e+02dB,8.93930768746414e+01°)
1.45881426027534e+02	(-1.52033622464388e+02dB,8.93916799798227e+01°)
1.46217717445671e+02	(-1.51973622369514e+02dB,8.93902798597041e+01°)
1.46554784095590e+02	(-1.51913622274202e+02dB,8.93888765068618e+01°)
1.46892627764385e+02	(-1.51853622178450e+02dB,8.93874699138551e+01°)
1.47231250243271e+02	(-1.51793622082257e+02dB,8.93860600732261e+01°)
1.47570653327588e+02	(-1.51733621985619e+02dB,8.93846469774997e+01°)
1.47910838816819e+02	(-1.51673621888535e+02dB,8.93832306191832e+01°)
1.48251808514594e+02	(-1.51613621791002e+02dB,8.93818109907671e+01°)
1.48593564228699e+02	(-1.51553621693020e+02dB,8.93803880847243e+01°)
1.48936107771090e+02	(-1.51493621594585e+02dB,8.93789618935103e+01°)
1.49279440957898e+02	(-1.51433621495696e+02dB,8.93775324095631e+01°)
1.49623565609442e+02	(-1.51373621396351e+02dB,8.93760996253036e+01°)
1.49968483550236e+02	(-1.51313621296547e+02dB,8.93746635331349e+01°)
