Freq.	V(out)
1.00000000000000e+02	(-1.62646324341684e+02dB,8.95626647804169e+01°)
1.00230523807790e+02	(-1.62586324323322e+02dB,8.95616598375534e+01°)
1.00461579027840e+02	(-1.62526324304875e+02dB,8.95606525706402e+01°)
1.00693166885180e+02	(-1.62466324286343e+02dB,8.95596429743367e+01°)
1.00925288607668e+02	(-1.62406324267726e+02dB,8.95586310432902e+01°)
1.01157945425990e+02	(-1.62346324249022e+02dB,8.95576167721353e+01°)
1.01391138573668e+02	(-1.62286324230232e+02dB,8.95566001554943e+01°)
1.01624869287070e+02	(-1.62226324211356e+02dB,8.95555811879773e+01°)
1.01859138805412e+02	(-1.62166324192392e+02dB,8.95545598641816e+01°)
1.02093948370768e+02	(-1.62106324173340e+02dB,8.95535361786921e+01°)
1.02329299228075e+02	(-1.62046324154201e+02dB,8.95525101260814e+01°)
1.02565192625141e+02	(-1.61986324134973e+02dB,8.95514817009092e+01°)
1.02801629812647e+02	(-1.61926324115657e+02dB,8.95504508977228e+01°)
1.03038612044162e+02	(-1.61866324096251e+02dB,8.95494177110570e+01°)
1.03276140576140e+02	(-1.61806324076756e+02dB,8.95483821354337e+01°)
1.03514216667934e+02	(-1.61746324057171e+02dB,8.95473441653624e+01°)
1.03752841581801e+02	(-1.61686324037495e+02dB,8.95463037953397e+01°)
1.03992016582906e+02	(-1.61626324017728e+02dB,8.95452610198496e+01°)
1.04231742939330e+02	(-1.61566323997870e+02dB,8.95442158333633e+01°)
1.04472021922080e+02	(-1.61506323977921e+02dB,8.95431682303392e+01°)
1.04712854805090e+02	(-1.61446323957879e+02dB,8.95421182052230e+01°)
1.04954242865232e+02	(-1.61386323937745e+02dB,8.95410657524473e+01°)
1.05196187382322e+02	(-1.61326323917518e+02dB,8.95400108664320e+01°)
1.05438689639126e+02	(-1.61266323897197e+02dB,8.95389535415843e+01°)
1.05681750921366e+02	(-1.61206323876783e+02dB,8.95378937722980e+01°)
1.05925372517729e+02	(-1.61146323856275e+02dB,8.95368315529544e+01°)
1.06169555719872e+02	(-1.61086323835671e+02dB,8.95357668779214e+01°)
1.06414301822431e+02	(-1.61026323814973e+02dB,8.95346997415543e+01°)
1.06659612123026e+02	(-1.60966323794179e+02dB,8.95336301381950e+01°)
1.06905487922266e+02	(-1.60906323773289e+02dB,8.95325580621726e+01°)
1.07151930523760e+02	(-1.60846323752303e+02dB,8.95314835078027e+01°)
1.07398941234124e+02	(-1.60786323731219e+02dB,8.95304064693882e+01°)
1.07646521362983e+02	(-1.60726323710039e+02dB,8.95293269412186e+01°)
1.07894672222983e+02	(-1.60666323688760e+02dB,8.95282449175702e+01°)
1.08143395129794e+02	(-1.60606323667384e+02dB,8.95271603927061e+01°)
1.08392691402120e+02	(-1.60546323645908e+02dB,8.95260733608762e+01°)
1.08642562361706e+02	(-1.60486323624334e+02dB,8.95249838163169e+01°)
1.08893009333343e+02	(-1.60426323602660e+02dB,8.95238917532515e+01°)
1.09144033644875e+02	(-1.60366323580885e+02dB,8.95227971658900e+01°)
1.09395636627209e+02	(-1.60306323559011e+02dB,8.95217000484287e+01°)
1.09647819614318e+02	(-1.60246323537035e+02dB,8.95206003950507e+01°)
1.09900583943252e+02	(-1.60186323514958e+02dB,8.95194981999257e+01°)
1.10153930954141e+02	(-1.60126323492779e+02dB,8.95183934572098e+01°)
