Freq.	V(n003)
1.00000000000000e+02	(-3.11395553549961e-03dB,1.79787805296276e+02°)
1.00230523807790e+02	(-3.11394033218173e-03dB,1.79787316136201e+02°)
1.00461579027840e+02	(-3.11392505868389e-03dB,1.79786825848491e+02°)
1.00693166885180e+02	(-3.11390971468775e-03dB,1.79786334430545e+02°)
1.00925288607668e+02	(-3.11389429986727e-03dB,1.79785841879759e+02°)
1.01157945425990e+02	(-3.11387881388480e-03dB,1.79785348193520e+02°)
1.01391138573668e+02	(-3.11386325643646e-03dB,1.79784853369211e+02°)
1.01624869287070e+02	(-3.11384762717692e-03dB,1.79784357404210e+02°)
1.01859138805412e+02	(-3.11383192576273e-03dB,1.79783860295885e+02°)
1.02093948370768e+02	(-3.11381615189583e-03dB,1.79783362041602e+02°)
1.02329299228075e+02	(-3.11380030519999e-03dB,1.79782862638718e+02°)
1.02565192625141e+02	(-3.11378438536458e-03dB,1.79782362084586e+02°)
1.02801629812647e+02	(-3.11376839204522e-03dB,1.79781860376552e+02°)
1.03038612044162e+02	(-3.11375232491392e-03dB,1.79781357511956e+02°)
1.03276140576140e+02	(-3.11373618361085e-03dB,1.79780853488132e+02°)
1.03514216667934e+02	(-3.11371996781478e-03dB,1.79780348302406e+02°)
1.03752841581801e+02	(-3.11370367716588e-03dB,1.79779841952102e+02°)
1.03992016582906e+02	(-3.11368731130434e-03dB,1.79779334434534e+02°)
1.04231742939330e+02	(-3.11367086992435e-03dB,1.79778825747011e+02°)
1.04472021922080e+02	(-3.11365435265549e-03dB,1.79778315886836e+02°)
1.04712854805090e+02	(-3.11363775912923e-03dB,1.79777804851306e+02°)
1.04954242865232e+02	(-3.11362108901085e-03dB,1.79777292637711e+02°)
1.05196187382322e+02	(-3.11360434196078e-03dB,1.79776779243337e+02°)
1.05438689639126e+02	(-3.11358751760472e-03dB,1.79776264665459e+02°)
1.05681750921366e+02	(-3.11357061558382e-03dB,1.79775748901351e+02°)
1.05925372517729e+02	(-3.11355363556237e-03dB,1.79775231948278e+02°)
1.06169555719872e+02	(-3.11353657714872e-03dB,1.79774713803499e+02°)
1.06414301822431e+02	(-3.11351944000522e-03dB,1.79774194464266e+02°)
1.06659612123026e+02	(-3.11350222375567e-03dB,1.79773673927827e+02°)
1.06905487922266e+02	(-3.11348492804891e-03dB,1.79773152191420e+02°)
1.07151930523760e+02	(-3.11346755249908e-03dB,1.79772629252281e+02°)
1.07398941234124e+02	(-3.11345009675696e-03dB,1.79772105107636e+02°)
1.07646521362983e+02	(-3.11343256043091e-03dB,1.79771579754706e+02°)
1.07894672222983e+02	(-3.11341494317267e-03dB,1.79771053190706e+02°)
1.08143395129794e+02	(-3.11339724458480e-03dB,1.79770525412844e+02°)
1.08392691402120e+02	(-3.11337946431712e-03dB,1.79769996418321e+02°)
1.08642562361706e+02	(-3.11336160196833e-03dB,1.79769466204334e+02°)
1.08893009333343e+02	(-3.11334365718440e-03dB,1.79768934768071e+02°)
1.09144033644875e+02	(-3.11332562956016e-03dB,1.79768402106713e+02°)
1.09395636627209e+02	(-3.11330751872518e-03dB,1.79767868217438e+02°)
1.09647819614318e+02	(-3.11328932431095e-03dB,1.79767333097413e+02°)
1.09900583943252e+02	(-3.11327104588627e-03dB,1.79766796743803e+02°)
1.10153930954141e+02	(-3.11325268309517e-03dB,1.79766259153763e+02°)
1.10407861990207e+02	(-3.11323423557397e-03dB,1.79765720324443e+02°)
1.10662378397766e+02	(-3.11321570287795e-03dB,1.79765180252986e+02°)
1.10917481526240e+02	(-3.11319708464923e-03dB,1.79764638936529e+02°)
1.11173172728159e+02	(-3.11317838048072e-03dB,1.79764096372201e+02°)
1.11429453359173e+02	(-3.11315958998074e-03dB,1.79763552557126e+02°)
1.11686324778056e+02	(-3.11314071274126e-03dB,1.79763007488420e+02°)
1.11943788346715e+02	(-3.11312174838122e-03dB,1.79762461163194e+02°)
1.12201845430196e+02	(-3.11310269647713e-03dB,1.79761913578551e+02°)
1.12460497396692e+02	(-3.11308355662770e-03dB,1.79761364731588e+02°)
1.12719745617551e+02	(-3.11306432844125e-03dB,1.79760814619394e+02°)
1.12979591467279e+02	(-3.11304501148948e-03dB,1.79760263239053e+02°)
1.13240036323555e+02	(-3.11302560539135e-03dB,1.79759710587641e+02°)
1.13501081567231e+02	(-3.11300610970696e-03dB,1.79759156662229e+02°)
1.13762728582343e+02	(-3.11298652404852e-03dB,1.79758601459879e+02°)
1.14024978756116e+02	(-3.11296684796455e-03dB,1.79758044977648e+02°)
1.14287833478977e+02	(-3.11294708108752e-03dB,1.79757487212585e+02°)
1.14551294144553e+02	(-3.11292722296017e-03dB,1.79756928161733e+02°)
1.14815362149688e+02	(-3.11290727315516e-03dB,1.79756367822127e+02°)
1.15080038894443e+02	(-3.11288723128662e-03dB,1.79755806190798e+02°)
1.15345325782109e+02	(-3.11286709690404e-03dB,1.79755243264766e+02°)
1.15611224219209e+02	(-3.11284686957525e-03dB,1.79754679041048e+02°)
1.15877735615512e+02	(-3.11282654889605e-03dB,1.79754113516652e+02°)
1.16144861384034e+02	(-3.11280613441113e-03dB,1.79753546688579e+02°)
1.16412602941049e+02	(-3.11278562570952e-03dB,1.79752978553825e+02°)
1.16680961706096e+02	(-3.11276502232818e-03dB,1.79752409109376e+02°)
1.16949939101987e+02	(-3.11274432385328e-03dB,1.79751838352213e+02°)
1.17219536554813e+02	(-3.11272352984300e-03dB,1.79751266279312e+02°)
1.17489755493952e+02	(-3.11270263984393e-03dB,1.79750692887637e+02°)
1.17760597352080e+02	(-3.11268165342776e-03dB,1.79750118174150e+02°)
1.18032063565172e+02	(-3.11266057013820e-03dB,1.79749542135803e+02°)
1.18304155572516e+02	(-3.11263938954116e-03dB,1.79748964769541e+02°)
1.18576874816716e+02	(-3.11261811116973e-03dB,1.79748386072304e+02°)
1.18850222743701e+02	(-3.11259673458401e-03dB,1.79747806041024e+02°)
1.19124200802737e+02	(-3.11257525932965e-03dB,1.79747224672624e+02°)
1.19398810446427e+02	(-3.11255368494844e-03dB,1.79746641964023e+02°)
1.19674053130724e+02	(-3.11253201098890e-03dB,1.79746057912131e+02°)
1.19949930314937e+02	(-3.11251023699571e-03dB,1.79745472513851e+02°)
1.20226443461741e+02	(-3.11248836248460e-03dB,1.79744885766080e+02°)
1.20503594037179e+02	(-3.11246638699639e-03dB,1.79744297665707e+02°)
1.20781383510677e+02	(-3.11244431008251e-03dB,1.79743708209612e+02°)
1.21059813355048e+02	(-3.11242213128667e-03dB,1.79743117394672e+02°)
1.21338885046497e+02	(-3.11239985009855e-03dB,1.79742525217754e+02°)
1.21618600064636e+02	(-3.11237746607345e-03dB,1.79741931675717e+02°)
1.21898959892486e+02	(-3.11235497871842e-03dB,1.79741336765415e+02°)
1.22179966016487e+02	(-3.11233238757427e-03dB,1.79740740483694e+02°)
1.22461619926504e+02	(-3.11230969215866e-03dB,1.79740142827392e+02°)
1.22743923115840e+02	(-3.11228689196901e-03dB,1.79739543793340e+02°)
1.23026877081238e+02	(-3.11226398654710e-03dB,1.79738943378362e+02°)
1.23310483322890e+02	(-3.11224097540479e-03dB,1.79738341579275e+02°)
1.23594743344450e+02	(-3.11221785804433e-03dB,1.79737738392888e+02°)
1.23879658653036e+02	(-3.11219463397854e-03dB,1.79737133816003e+02°)
1.24165230759240e+02	(-3.11217130272124e-03dB,1.79736527845414e+02°)
1.24451461177138e+02	(-3.11214786375730e-03dB,1.79735920477908e+02°)
1.24738351424294e+02	(-3.11212431661595e-03dB,1.79735311710266e+02°)
1.25025903021771e+02	(-3.11210066078398e-03dB,1.79734701539259e+02°)
1.25314117494141e+02	(-3.11207689576653e-03dB,1.79734089961653e+02°)
1.25602996369487e+02	(-3.11205302105038e-03dB,1.79733476974204e+02°)
1.25892541179416e+02	(-3.11202903613102e-03dB,1.79732862573663e+02°)
1.26182753459066e+02	(-3.11200494050681e-03dB,1.79732246756771e+02°)
1.26473634747114e+02	(-3.11198073366069e-03dB,1.79731629520265e+02°)
1.26765186585784e+02	(-3.11195641507463e-03dB,1.79731010860871e+02°)
